CGPA,IQ,Communication,Programming,Internship,Projects,Attendance,Placement
7.52,130,3,1,0,2,69,1
6.52,113,1,7,3,3,68,1
9.15,133,2,6,3,3,81,1
5.62,136,6,5,0,0,82,1
8.88,138,3,1,0,6,65,1
7.54,115,4,4,3,2,73,1
7.98,126,7,3,1,3,84,1
9.76,124,10,10,1,6,90,1
6.19,90,6,7,1,5,77,1
6.33,108,1,8,0,2,65,1
6.77,125,8,9,3,0,81,1
5.96,117,2,7,1,6,64,1
9.34,91,7,5,1,6,84,1
8.51,116,3,6,0,0,80,1
6.47,83,10,6,3,1,84,1
6.17,126,4,2,3,3,79,1
8.99,140,10,6,3,5,76,1
6.49,138,4,10,2,1,83,1
9.15,99,2,1,0,4,92,1
6.4,80,4,3,0,6,64,1
9.21,103,6,8,2,2,70,1
7.85,116,10,10,1,3,65,1
6.19,94,4,4,3,5,76,1
5.87,117,3,3,0,6,71,1
6.77,84,1,3,0,1,95,1
9.34,137,3,4,2,5,83,1
7.32,82,7,7,0,1,96,1
6.73,111,10,8,1,1,94,1
7.44,110,8,5,0,5,74,1
9.47,139,6,8,0,3,87,1
9.39,102,1,4,3,2,62,1
5.71,137,2,1,3,4,88,1
5.3,121,3,4,1,6,87,1
8.81,82,6,4,1,3,99,1
5.69,138,10,10,1,3,89,1
6.16,122,4,9,0,0,84,1
8.17,106,2,1,0,6,75,1
5.08,109,10,2,2,5,77,1
7.06,116,8,1,3,1,93,1
8.83,91,8,4,0,1,98,1
5.88,110,7,8,0,6,76,1
9.6,140,8,2,0,2,77,1
9.92,89,2,8,3,5,98,1
6.0,86,6,5,1,6,97,1
5.62,138,3,4,1,3,75,1
8.25,85,3,9,2,1,74,1
5.88,91,5,1,1,5,71,0
6.58,131,5,5,3,0,70,1
8.33,90,5,5,1,2,64,1
7.82,93,1,9,0,3,98,1
7.73,98,5,2,2,5,91,1
5.87,90,10,9,0,5,91,1
8.64,89,10,4,2,1,84,1
9.66,125,4,8,3,2,87,1
8.52,137,10,8,1,2,72,1
5.85,136,8,10,1,5,98,1
8.5,104,2,3,3,5,100,1
5.73,113,3,3,0,6,87,1
8.08,86,9,8,2,5,98,1
9.69,86,3,3,2,3,86,1
5.15,106,8,3,0,1,77,0
7.27,138,2,3,3,1,94,1
6.93,104,1,6,3,6,93,1
5.99,106,6,2,2,2,91,1
9.51,104,6,7,1,1,94,1
7.5,96,6,6,0,3,84,1
6.14,120,5,2,2,3,94,1
9.55,110,2,10,3,3,74,1
5.7,124,3,7,3,2,82,1
8.22,125,2,5,3,1,60,1
9.64,107,5,8,0,5,94,1
5.2,102,7,5,3,1,73,1
8.62,111,8,2,1,4,78,1
6.8,114,1,2,3,2,70,1
9.53,100,7,10,0,2,85,1
9.62,106,10,3,0,6,99,1
6.25,116,6,5,0,5,73,1
8.77,119,4,4,2,4,61,1
7.78,90,1,1,2,4,62,0
6.5,109,3,6,2,1,79,1
6.63,101,7,4,2,3,86,1
8.72,112,6,4,0,3,92,1
7.15,89,10,3,2,5,74,1
7.85,112,10,9,1,1,98,1
9.64,117,4,3,3,3,74,1
5.13,111,4,2,1,0,79,0
6.97,127,1,9,1,5,63,1
8.61,89,2,9,0,3,84,1
9.1,140,9,8,2,5,80,1
7.45,82,9,9,1,0,98,1
7.05,93,2,5,3,0,84,1
7.09,98,1,4,3,0,95,1
5.95,83,2,8,0,3,98,1
8.21,86,3,7,0,0,70,1
5.49,83,5,4,1,4,95,1
9.32,116,2,7,0,4,88,1
6.15,129,7,1,1,3,91,1
6.21,104,3,7,2,1,88,1
9.95,114,8,2,0,0,66,1
5.61,127,8,5,2,0,82,1
5.01,84,7,9,2,0,98,1
7.1,131,3,3,1,6,71,1
5.65,116,7,1,2,3,65,1
5.64,129,10,2,2,0,94,1
9.71,120,1,5,2,2,60,1
9.99,89,7,8,2,1,66,1
6.51,136,9,5,3,4,96,1
8.02,104,3,1,3,6,61,1
6.56,130,8,9,1,3,99,1
8.29,100,9,4,1,1,88,1
6.48,102,9,1,2,5,99,1
8.66,88,4,1,2,3,63,1
7.98,107,6,3,0,1,93,1
5.45,86,2,5,0,6,94,1
9.94,96,4,7,3,5,95,1
9.93,140,6,5,2,6,63,1
9.28,117,3,3,3,0,78,1
9.67,87,10,1,3,0,85,1
5.83,101,5,4,2,2,69,1
9.31,80,5,9,3,6,97,1
9.07,81,8,2,3,3,81,1
6.3,132,4,7,2,2,72,1
5.71,129,5,2,0,1,86,0
9.78,126,5,10,1,4,87,1
9.14,126,6,5,0,1,90,1
5.27,116,4,1,3,3,66,1
5.02,119,6,4,0,0,89,1
5.41,134,8,10,1,5,98,1
5.85,81,1,9,1,4,63,1
6.45,80,9,5,1,2,89,1
8.2,134,2,6,2,4,73,1
6.92,115,5,3,2,0,70,1
6.07,88,1,9,0,1,68,1
6.85,125,7,4,1,1,86,1
5.25,137,1,7,0,2,86,1
6.85,97,10,5,1,1,100,1
9.59,122,5,3,3,4,75,1
6.98,115,10,8,1,0,84,1
5.3,96,6,7,2,6,76,1
9.26,132,9,10,1,5,78,1
9.09,101,9,5,0,2,60,1
5.05,129,1,4,0,3,97,1
8.3,121,4,5,1,6,98,1
7.97,88,4,2,2,6,98,1
7.62,110,10,3,0,4,81,1
8.99,131,6,1,0,0,72,1
9.51,93,8,3,3,0,69,1
7.74,119,3,9,3,4,65,1
6.11,115,8,7,0,6,88,1
5.65,108,10,9,1,2,95,1
8.03,140,4,8,3,1,68,1
8.51,113,5,4,3,0,84,1
6.7,131,3,6,3,4,76,1
7.02,88,8,2,1,1,90,1
7.14,129,8,4,3,2,78,1
7.65,80,8,9,2,0,97,1
5.67,101,6,5,2,5,67,1
7.68,104,8,9,1,5,73,1
7.33,114,8,7,0,1,74,1
5.23,103,3,8,0,1,67,0
7.3,102,3,8,0,0,85,1
5.59,140,3,10,3,5,84,1
8.27,131,7,2,0,3,98,1
7.03,81,5,5,2,3,83,1
5.61,129,2,2,0,2,82,0
5.18,135,2,8,3,5,94,1
6.65,139,9,9,2,4,70,1
7.39,121,6,8,3,0,83,1
5.49,97,2,4,3,2,85,1
5.05,131,5,3,3,2,63,1
6.15,116,1,10,1,1,76,1
7.43,88,2,9,3,2,65,1
6.62,85,8,5,2,3,67,1
5.19,92,3,4,1,0,90,0
8.82,96,3,6,3,0,71,1
7.34,118,5,8,3,3,85,1
5.62,107,7,1,2,2,99,1
6.95,133,4,4,0,1,87,1
8.2,102,4,9,1,4,88,1
7.53,122,5,8,2,3,79,1
9.0,106,10,1,3,5,88,1
6.43,100,1,8,1,0,69,1
5.31,84,8,6,0,4,76,1
6.52,133,4,3,1,3,70,1
7.79,120,8,3,3,5,61,1
8.76,140,10,4,3,6,89,1
5.66,123,8,2,3,4,99,1
7.39,93,7,2,3,4,78,1
9.35,95,5,6,2,2,69,1
7.77,86,10,1,0,1,88,1
6.39,138,7,9,1,0,69,1
6.05,121,9,9,3,6,69,1
5.45,106,4,5,0,4,72,0
8.89,133,6,4,2,0,61,1
9.72,84,8,8,1,4,75,1
5.32,107,8,10,3,2,70,1
7.85,130,2,1,0,3,99,1
9.97,92,7,6,3,1,70,1
5.73,129,9,1,1,6,82,1
6.33,95,5,6,0,6,83,1
5.86,116,1,1,1,3,85,0
7.42,125,6,10,2,3,85,1
6.52,123,2,3,0,2,97,1
9.92,131,5,9,3,4,86,1
5.79,111,8,10,2,1,84,1
9.62,93,2,10,1,4,81,1
7.03,89,5,3,3,3,90,1
5.79,91,2,5,2,2,70,1
9.64,126,4,2,0,0,82,1
5.09,107,10,6,1,1,92,1
9.61,86,5,6,1,2,61,1
7.36,130,9,4,2,1,90,1
5.23,87,1,9,2,3,73,1
6.55,98,4,4,0,1,85,1
6.58,102,4,7,3,6,71,1
6.62,119,7,6,0,1,100,1
7.53,82,5,5,2,1,70,1
9.97,130,3,1,3,1,79,1
6.31,94,9,8,3,3,70,1
7.36,86,10,3,3,5,96,1
5.59,126,7,2,0,1,94,1
6.52,99,3,6,2,6,93,1
8.42,101,7,10,0,4,89,1
9.61,87,8,1,0,4,83,1
9.85,121,5,7,3,5,87,1
7.48,139,5,7,0,0,98,1
8.7,110,5,10,3,5,69,1
9.58,113,3,7,1,1,93,1
6.16,83,7,5,3,1,69,1
9.58,99,3,2,1,6,98,1
7.25,87,6,4,2,4,65,1
8.02,98,5,3,1,5,64,1
6.77,95,4,7,1,3,60,1
9.04,138,1,5,1,1,78,1
5.39,91,9,2,3,3,82,1
8.03,95,5,8,1,2,88,1
6.64,131,9,3,0,2,77,1
8.63,130,6,9,2,1,68,1
5.16,116,10,6,1,2,62,1
6.64,132,2,9,2,4,92,1
8.36,112,2,2,1,1,66,1
5.09,117,9,3,0,3,73,1
7.84,128,4,3,3,2,96,1
8.71,85,2,10,2,5,90,1
9.34,95,10,5,3,4,80,1
7.14,83,7,6,3,5,100,1
9.4,140,5,4,2,0,90,1
9.63,119,9,6,1,1,92,1
8.24,81,1,8,3,5,83,1
5.66,140,1,5,3,1,98,1
7.41,124,10,5,1,0,65,1
9.21,100,2,8,0,6,89,1
6.54,138,1,10,2,3,66,1
5.04,121,9,7,3,2,96,1
7.06,123,1,1,2,1,79,0
8.5,102,6,7,0,0,93,1
9.91,88,6,2,0,5,83,1
9.8,121,10,4,3,1,97,1
9.85,125,2,5,0,1,86,1
8.63,100,2,2,0,0,71,0
6.71,109,10,10,1,0,98,1
8.31,123,7,6,3,5,69,1
5.34,98,8,5,0,4,74,1
9.36,134,1,4,2,0,66,1
5.89,115,6,9,1,4,63,1
6.79,116,7,6,0,5,97,1
6.2,110,8,9,2,1,83,1
5.75,100,1,9,0,6,61,1
6.88,113,5,8,3,2,70,1
7.01,99,9,4,3,4,86,1
7.91,114,4,1,2,3,79,1
7.7,121,9,5,1,4,87,1
5.35,130,9,5,2,0,70,1
9.71,117,7,8,3,3,89,1
8.86,88,8,7,3,2,87,1
9.97,99,6,2,3,5,83,1
5.21,105,4,4,1,3,63,1
6.48,102,3,5,1,2,88,1
6.41,122,7,1,1,0,69,0
9.48,94,2,6,3,4,90,1
8.26,117,5,4,0,4,64,1
9.14,117,7,5,3,2,99,1
6.57,99,7,2,1,6,85,1
8.36,138,2,2,2,2,78,1
8.36,120,9,1,0,3,90,1
7.17,120,1,10,0,2,70,1
7.57,99,9,2,3,6,67,1
5.97,131,4,9,3,0,71,1
5.47,129,4,8,1,6,83,1
8.24,113,2,6,2,6,93,1
9.06,137,10,5,1,4,75,1
5.54,103,2,8,0,5,95,1
7.81,80,3,7,3,5,99,1
6.99,99,6,7,2,4,96,1
7.99,119,9,5,0,3,93,1
5.36,139,2,2,0,5,75,1
9.22,104,1,8,0,5,65,1
6.67,116,8,5,1,2,60,1
7.65,99,9,6,3,2,62,1
7.28,96,3,6,3,5,64,1
6.48,109,9,3,3,3,97,1
8.44,138,8,7,3,3,81,1
7.88,122,8,1,3,1,86,1
5.77,97,3,4,1,6,77,1
7.39,132,9,8,0,0,85,1
8.96,87,8,7,0,5,68,1
8.72,138,6,10,2,1,84,1
8.51,135,7,5,3,6,62,1
8.89,122,5,7,1,1,83,1
6.67,123,5,9,2,6,81,1
5.32,98,3,5,1,4,78,1
9.89,125,6,1,3,6,73,1
9.68,135,3,5,3,4,92,1
6.25,82,3,3,3,4,90,1
8.15,99,5,6,3,1,75,1
7.47,107,1,4,2,2,72,1
5.78,118,6,2,3,6,80,1
9.84,127,2,4,1,4,87,1
6.37,111,3,8,0,5,99,1
7.67,122,6,9,1,1,89,1
9.75,135,2,7,3,1,78,1
7.79,139,3,7,1,1,100,1
8.45,113,9,5,0,0,70,1
9.85,104,8,6,2,6,89,1
9.58,114,9,2,3,6,77,1
7.11,95,7,7,3,3,78,1
8.19,84,9,4,2,0,65,1
8.79,80,6,3,1,5,93,1
6.47,133,10,6,0,5,70,1
6.4,120,8,5,2,3,66,1
6.26,99,6,5,3,1,70,1
6.79,103,2,8,0,1,78,1
8.25,138,1,6,2,1,99,1
6.99,123,8,4,0,4,69,1
6.98,114,9,10,0,4,73,1
5.44,117,3,7,1,6,72,1
6.03,91,10,9,1,2,72,1
9.83,120,5,3,2,3,75,1
8.58,139,6,2,1,4,95,1
6.34,107,6,1,2,5,71,1
6.24,140,2,8,2,1,83,1
5.16,140,7,3,2,4,74,1
5.55,131,5,5,2,6,82,1
8.84,135,2,6,0,2,82,1
8.8,129,3,10,2,3,89,1
7.22,110,10,9,1,4,97,1
9.45,96,5,9,1,2,96,1
7.36,132,9,9,2,6,90,1
8.9,115,6,8,2,0,62,1
6.94,129,4,2,2,6,98,1
9.13,128,4,1,2,6,91,1
8.19,139,7,1,1,5,100,1
5.29,81,10,7,0,3,88,1
7.29,92,5,6,2,5,81,1
7.2,116,6,1,1,4,100,1
8.33,111,6,2,2,3,86,1
8.49,128,1,5,2,5,72,1
5.04,93,4,10,2,3,86,1
5.68,106,1,3,3,5,74,1
5.23,120,7,10,3,4,64,1
7.95,126,2,3,1,3,60,1
9.71,96,3,8,0,4,64,1
9.51,125,10,9,2,2,89,1
9.8,110,7,10,0,3,80,1
8.7,112,10,4,2,1,99,1
6.32,128,9,3,2,3,72,1
8.77,81,5,5,3,2,70,1
6.04,128,6,5,1,6,87,1
7.65,138,3,5,2,0,83,1
7.23,108,3,6,1,2,60,1
9.24,102,6,10,1,2,94,1
5.99,106,1,10,2,2,60,1
5.84,86,10,5,1,5,64,1
5.64,90,6,1,1,4,95,1
6.65,96,7,1,3,6,81,1
5.17,83,10,9,3,1,73,1
6.29,123,1,2,1,6,66,0
7.01,115,10,6,3,5,82,1
8.89,87,8,2,0,0,90,1
9.53,80,3,7,3,6,88,1
8.77,115,7,1,2,4,96,1
9.34,139,6,8,2,1,73,1
5.67,106,3,10,1,3,77,1
5.65,130,1,2,0,0,96,0
6.95,114,7,7,2,4,90,1
7.65,115,1,6,2,4,78,1
7.89,101,8,4,3,5,68,1
7.23,123,8,7,3,4,79,1
6.64,119,1,2,0,6,74,0
9.9,120,2,4,3,1,62,1
5.44,90,2,10,1,3,97,1
6.16,99,3,2,3,2,75,1
9.39,93,7,4,2,3,99,1
8.57,119,3,2,1,2,86,1
5.99,100,4,5,3,2,84,1
7.37,105,7,9,2,4,67,1
9.27,80,8,1,2,5,99,1
6.82,80,6,4,3,5,99,1
5.53,114,6,7,0,4,100,1
5.75,92,7,1,1,3,90,1
5.86,91,10,1,3,6,77,1
7.65,121,5,1,3,4,95,1
9.21,108,2,6,1,1,74,1
9.29,132,4,10,3,2,64,1
7.06,106,10,9,2,6,88,1
7.34,80,9,9,3,0,67,1
8.86,115,3,2,0,3,76,1
5.35,106,1,6,2,5,95,1
5.55,118,8,6,3,1,85,1
6.42,90,7,2,3,1,62,1
5.8,134,9,5,2,1,92,1
9.67,82,6,3,3,2,90,1
6.78,101,8,1,1,4,79,1
5.06,98,2,2,0,6,61,0
7.28,122,6,6,1,4,64,1
7.14,80,2,2,2,5,84,1
9.14,118,5,9,3,2,90,1
8.18,101,10,6,2,2,96,1
6.34,92,1,8,1,0,67,1
5.1,136,10,7,0,6,61,1
7.54,85,9,1,0,2,76,1
5.52,123,2,7,0,5,97,1
9.25,116,3,6,0,1,88,1
9.3,135,2,8,1,1,81,1
6.77,90,8,1,2,5,86,1
7.54,89,10,4,1,3,79,1
9.21,115,9,8,1,3,64,1
6.59,118,10,6,2,5,72,1
5.44,112,7,5,1,4,62,1
9.7,127,7,6,3,6,98,1
6.28,83,2,3,3,1,77,1
5.49,112,5,9,2,2,71,1
5.47,134,2,3,0,4,71,0
6.79,110,3,5,1,4,86,1
8.11,99,10,6,0,0,90,1
8.94,82,3,4,0,1,65,1
8.89,86,9,1,0,1,70,1
9.88,140,2,3,3,4,78,1
8.32,85,8,8,0,4,65,1
6.75,135,9,9,2,6,77,1
6.7,118,1,9,3,4,68,1
6.45,132,1,10,3,0,93,1
5.72,102,4,6,3,0,98,1
8.47,98,5,8,3,6,78,1
5.02,123,10,1,2,2,97,1
6.76,83,1,9,1,4,74,1
9.08,116,7,8,2,1,72,1
9.65,110,10,7,0,4,86,1
7.43,105,4,7,0,1,89,1
8.24,100,6,6,2,3,94,1
8.81,109,4,10,0,0,82,1
7.96,107,6,10,0,4,100,1
9.67,131,7,10,1,5,60,1
6.23,120,10,9,1,2,71,1
8.45,81,9,3,3,1,90,1
9.95,109,5,10,1,3,72,1
9.55,89,3,8,2,5,68,1
7.17,120,7,2,3,1,99,1
6.6,135,9,8,0,5,93,1
7.86,122,1,5,2,2,76,1
8.97,135,7,5,2,2,65,1
6.31,102,3,7,3,5,81,1
5.24,95,7,8,3,2,90,1
6.31,102,1,1,3,1,62,0
9.47,122,3,7,0,1,83,1
6.82,137,1,4,1,5,94,1
7.76,137,5,3,0,3,91,1
6.99,88,5,4,3,5,95,1
5.33,124,10,6,1,3,61,1
7.03,105,3,3,0,0,81,1
5.82,92,3,9,2,3,83,1
5.1,90,10,1,2,5,76,1
9.18,120,9,10,0,0,92,1
8.0,135,9,9,3,3,87,1
9.73,94,1,4,1,3,70,1
5.5,125,5,10,3,2,95,1
7.83,112,2,6,0,0,91,1
8.65,121,6,3,3,0,90,1
8.15,103,6,9,2,4,99,1
8.99,109,1,4,1,6,89,1
7.31,113,4,4,0,4,61,1
5.84,134,7,5,1,2,74,1
5.65,132,6,2,2,0,71,1
9.79,100,5,3,3,5,68,1
7.7,139,2,8,1,1,66,1
6.14,83,5,5,3,0,88,1
8.25,128,9,4,0,5,98,1
9.23,84,5,4,0,6,93,1
7.92,138,1,7,0,5,70,1
6.96,122,3,7,2,1,84,1
8.74,126,4,2,3,1,62,1
7.81,117,9,8,0,2,96,1
6.67,90,7,7,1,5,76,1
9.08,116,4,7,2,1,65,1
5.84,105,4,4,0,5,75,1
9.93,96,4,6,0,3,82,1
7.79,103,2,10,1,0,100,1
8.09,108,8,5,2,2,100,1
8.38,113,1,5,0,3,84,1
5.01,109,7,3,3,3,79,1
5.01,103,8,9,0,4,91,1
6.95,115,8,1,0,5,84,1
8.56,108,4,7,1,5,74,1
9.39,124,7,3,0,1,82,1
9.8,131,2,9,3,5,96,1
6.05,138,6,4,2,3,65,1
6.52,138,3,6,3,1,70,1
8.34,99,7,6,1,5,75,1
9.9,127,3,5,2,4,62,1
8.66,89,5,8,3,1,67,1
8.74,105,9,7,0,3,60,1
5.4,100,7,9,2,3,63,1
5.69,126,10,6,0,0,89,1
9.71,123,9,2,2,6,69,1
9.42,104,10,3,0,3,60,1
9.61,90,5,7,2,4,80,1
5.89,106,6,5,1,1,64,1
8.54,130,6,3,1,0,85,1
7.36,125,5,8,1,5,81,1
9.69,135,8,1,0,0,83,1
6.53,137,1,8,2,6,75,1
6.74,124,4,1,1,6,94,1
6.22,132,9,5,1,2,63,1
7.78,123,1,3,1,4,70,1
7.77,116,4,4,3,2,75,1
8.87,127,8,10,0,4,72,1
7.56,121,1,6,3,2,79,1
6.27,136,8,4,3,0,91,1
10.0,134,2,4,2,5,98,1
8.72,114,1,6,1,1,97,1
8.08,110,4,9,0,5,66,1
9.13,137,10,6,3,6,96,1
9.87,100,7,8,2,6,68,1
6.78,101,2,5,1,6,95,1
8.63,113,7,6,1,4,90,1
9.09,114,4,1,0,3,65,1
9.69,123,7,9,2,0,65,1
8.47,80,5,10,2,2,82,1
6.72,106,1,7,2,0,72,1
7.09,134,4,5,1,0,67,1
8.28,136,10,9,1,2,96,1
5.95,119,9,6,3,2,76,1
9.17,125,3,2,3,6,93,1
7.21,98,1,3,0,5,78,1
8.32,130,5,2,1,5,95,1
6.5,85,7,8,3,1,77,1
7.15,137,5,4,0,1,89,1
9.15,101,1,9,3,6,66,1
8.17,137,3,1,0,6,74,1
5.22,98,4,8,1,5,70,1
8.43,128,3,5,2,6,74,1
8.58,81,7,9,3,0,63,1
9.99,92,1,8,3,1,96,1
7.12,129,1,7,3,6,79,1
8.52,85,6,7,3,2,88,1
9.43,127,8,7,3,1,63,1
8.83,135,7,5,0,3,72,1
9.21,116,10,6,3,4,90,1
5.44,90,9,3,3,1,96,1
9.52,87,9,7,2,1,68,1
6.25,137,2,8,2,4,93,1
6.56,131,7,1,2,2,61,1
5.02,134,1,1,0,3,87,0
9.56,86,2,5,3,6,82,1
6.61,121,1,10,0,5,67,1
8.14,120,6,6,2,3,89,1
8.4,125,3,1,3,4,71,1
7.28,111,4,8,0,3,100,1
6.41,113,3,3,2,0,71,1
9.18,85,3,6,3,3,95,1
8.99,105,1,1,2,6,73,1
6.24,111,9,7,0,6,62,1
5.85,108,3,9,2,3,68,1
5.02,119,9,5,3,6,69,1
5.58,81,4,6,2,3,62,1
8.97,120,10,7,2,0,74,1
9.95,96,5,10,3,1,63,1
9.79,126,7,8,0,0,79,1
5.21,134,4,1,1,6,60,1
7.35,114,3,2,2,1,96,1
9.96,127,6,10,1,4,60,1
9.91,132,10,1,2,0,79,1
7.09,120,7,1,2,3,82,1
7.59,138,5,1,1,1,92,1
7.46,116,3,5,2,4,74,1
9.25,114,9,1,3,1,68,1
7.52,113,5,10,3,1,87,1
5.96,138,5,8,3,6,69,1
5.43,96,9,1,0,1,70,0
9.82,131,6,3,1,3,77,1
8.31,100,5,4,1,0,100,1
6.05,124,1,10,0,0,85,1
7.75,116,7,7,2,0,66,1
6.26,112,6,1,2,4,75,1
6.31,116,10,6,0,3,99,1
5.82,109,9,7,1,2,98,1
8.2,91,4,9,3,6,99,1
7.91,108,6,1,0,3,92,1
5.84,85,4,5,2,0,69,1
6.41,107,2,1,0,6,99,1
5.44,82,7,7,1,2,92,1
6.67,139,2,3,0,5,91,1
7.75,90,8,2,3,1,91,1
5.48,120,10,9,0,0,63,1
9.84,132,4,4,1,2,94,1
9.29,131,6,3,3,0,73,1
6.49,91,5,7,3,6,62,1
6.27,110,3,10,1,0,67,1
9.9,114,1,3,2,3,67,1
6.84,83,2,10,2,3,64,1
9.65,100,7,4,0,4,96,1
6.0,110,10,3,1,2,81,1
5.2,98,10,3,2,2,70,1
6.0,135,6,7,1,4,74,1
9.93,140,1,7,0,5,79,1
6.03,139,3,2,1,2,89,1
9.69,114,2,1,0,1,73,1
7.72,99,4,8,2,5,89,1
5.63,113,10,2,0,3,76,1
7.2,125,2,1,0,2,92,0
6.68,135,1,9,1,6,62,1
5.38,108,4,9,2,0,96,1
7.23,99,2,7,2,1,92,1
9.62,138,6,6,2,4,64,1
9.55,132,5,6,3,2,62,1
7.43,119,4,2,1,3,86,1
5.04,107,9,2,1,4,89,1
8.8,90,1,2,2,3,98,1
9.0,128,10,5,2,1,75,1
5.67,89,2,1,1,0,87,0
7.21,97,5,4,0,5,60,1
9.27,128,9,4,2,5,90,1
5.03,96,10,3,2,4,91,1
9.06,118,7,10,2,1,65,1
5.83,123,5,10,1,0,72,1
5.79,93,8,7,3,3,95,1
8.32,90,5,10,3,4,88,1
5.2,89,2,2,3,2,79,1
5.51,126,5,8,3,1,61,1
6.5,81,9,2,0,4,93,1
6.62,87,10,10,1,6,66,1
9.92,135,1,10,1,0,67,1
7.75,140,9,2,0,3,72,1
9.86,103,6,10,2,1,66,1
8.3,126,8,10,2,3,89,1
6.01,97,9,3,3,0,94,1
7.88,105,9,9,1,5,65,1
7.05,100,5,1,1,5,79,1
5.82,123,5,8,2,4,79,1
5.92,94,6,10,2,4,87,1
9.39,131,3,8,2,2,90,1
7.07,94,7,7,0,3,81,1
8.02,132,5,10,0,3,68,1
8.92,91,1,10,3,6,61,1
9.07,123,1,6,0,6,99,1
5.11,130,6,4,3,2,76,1
10.0,89,2,2,2,2,70,1
9.01,108,7,9,2,3,66,1
5.22,135,4,2,0,3,65,0
8.58,81,10,3,0,6,88,1
10.0,120,1,4,2,4,96,1
8.79,138,6,1,1,5,61,1
8.63,89,6,5,2,2,95,1
5.0,100,8,3,3,4,94,1
9.69,109,6,2,3,2,97,1
5.41,129,4,3,1,5,73,1
6.38,130,9,2,1,0,93,1
8.38,110,3,3,3,3,91,1
7.81,134,1,4,3,1,87,1
9.76,137,4,7,2,2,100,1
6.4,83,7,3,0,5,99,1
6.14,104,1,8,2,1,68,1
9.33,101,6,10,0,5,85,1
6.18,121,5,5,0,4,60,1
6.5,125,1,5,2,0,64,1
5.1,93,9,8,2,6,60,1
8.69,80,1,9,1,2,80,1
5.15,121,7,1,2,5,88,1
7.26,115,1,1,1,0,76,0
9.41,131,3,2,2,2,92,1
8.73,135,3,7,3,5,76,1
6.51,138,3,8,3,3,82,1
8.96,111,8,5,3,6,68,1
7.3,94,1,9,3,6,83,1
7.32,137,6,1,0,3,75,1
8.14,129,10,5,1,1,63,1
7.83,84,9,5,1,4,71,1
6.83,112,6,5,3,4,76,1
6.41,100,3,10,2,0,92,1
7.27,91,3,8,3,6,82,1
5.07,134,6,1,2,3,75,1
7.81,119,8,8,1,4,67,1
6.5,104,3,5,1,3,65,1
8.29,128,5,5,1,5,80,1
9.47,113,1,1,2,0,89,1
5.79,100,3,9,3,4,67,1
8.99,91,9,9,1,0,84,1
5.17,87,8,4,1,6,86,1
5.64,87,3,9,1,3,62,1
5.2,103,8,9,1,6,78,1
6.76,132,1,2,1,1,72,0
7.56,117,7,6,3,3,97,1
8.06,120,3,3,1,0,76,1
5.66,107,6,8,2,6,77,1
7.28,100,2,10,1,4,68,1
7.09,134,6,5,3,6,83,1
7.74,114,1,3,3,6,64,1
5.97,104,5,3,2,1,96,1
6.19,119,4,8,1,4,98,1
7.61,132,7,5,3,5,65,1
7.77,109,2,6,1,1,75,1
7.89,135,3,4,1,6,74,1
5.17,120,10,9,1,0,78,1
6.77,105,9,5,3,6,77,1
6.24,108,1,10,2,4,82,1
8.38,98,4,4,2,2,98,1
8.29,117,9,10,1,3,79,1
6.36,83,3,9,1,0,96,1
8.57,87,8,4,0,3,65,1
9.84,89,6,9,2,0,68,1
5.5,83,10,3,3,6,96,1
5.11,92,1,7,0,5,84,1
6.06,136,5,2,1,3,89,1
8.5,111,3,3,1,6,74,1
5.87,112,2,6,1,0,86,1
5.96,111,7,8,2,3,62,1
9.64,122,5,10,1,6,74,1
9.24,90,1,5,0,4,93,1
8.31,86,1,5,2,0,68,1
7.23,86,9,7,0,1,68,1
7.01,112,6,4,0,3,80,1
5.35,91,2,3,0,6,64,0
6.36,135,9,9,3,2,66,1
5.12,132,2,7,1,6,96,1
9.15,99,1,2,1,6,96,1
8.45,133,10,10,3,2,68,1
6.79,87,6,6,1,4,83,1
7.54,113,6,5,3,3,65,1
6.57,106,8,6,2,3,71,1
9.15,105,5,2,0,3,82,1
6.4,125,8,6,2,2,95,1
9.39,104,2,6,0,6,73,1
8.68,111,8,3,0,5,95,1
9.88,86,1,5,0,5,96,1
6.7,115,5,4,1,2,79,1
5.97,96,2,1,3,4,67,1
5.95,88,3,10,1,3,69,1
9.77,130,5,4,2,5,74,1
6.37,138,4,4,1,0,91,1
8.79,100,2,3,0,0,73,1
6.66,81,1,8,3,0,81,1
5.41,124,1,7,2,3,65,1
5.35,88,4,10,0,1,91,1
6.97,112,9,3,0,5,75,1
8.57,132,10,2,2,4,75,1
5.84,87,1,4,2,3,65,0
8.95,138,1,5,3,2,85,1
8.69,125,3,7,2,2,81,1
9.42,105,7,2,1,6,62,1
5.52,104,7,2,2,4,67,1
5.31,96,10,2,1,0,73,1
6.93,87,1,3,3,0,90,1
6.22,128,6,8,1,1,81,1
7.79,135,7,2,3,6,99,1
7.96,84,3,4,1,2,72,1
9.38,83,9,8,1,0,76,1
9.82,125,9,1,1,5,82,1
5.98,119,8,3,3,0,99,1
7.54,132,4,3,3,4,99,1
6.79,98,8,6,3,2,84,1
7.78,106,8,7,2,5,82,1
6.79,82,2,6,1,6,90,1
8.63,131,5,10,2,1,69,1
7.81,135,6,5,1,1,93,1
6.27,112,1,7,0,6,100,1
